0,1,2,3,4,5,6,7,8,9,10
root vegetables,frozen dessert,,,,,,,,,
pip fruit,pastry,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
packaged fruit/vegetables,popcorn,,,,,,,,,
citrus fruit,sausage,brown bread,,,,,,,,
napkins,dessert,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
herbs,chocolate,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,pastry,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
beverages,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
other vegetables,whole milk,brown bread,hard cheese,waffles,,,,,,
root vegetables,beef,,,,,,,,,
ham,whole milk,artif. sweetener,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
pastry,rolls/buns,,,,,,,,,
ice cream,newspapers,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
grapes,grapes,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
citrus fruit,citrus fruit,specialty chocolate,cream cheese ,,,,,,,
liquor,UHT-milk,,,,,,,,,
fruit/vegetable juice,whole milk,,,,,,,,,
whole milk,frankfurter,candles,grapes,herbs,other vegetables,yogurt,,,,
whole milk,yogurt,pot plants,pastry,flower (seeds),pudding powder,,,,,
sausage,yogurt,,,,,,,,,
ham,bottled water,margarine,,,,,,,,
yogurt,pastry,kitchen towels,,,,,,,,
pastry,shopping bags,,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
mustard,curd,,,,,,,,,
pastry,soda,,,,,,,,,
whole milk,white bread,,,,,,,,,
whole milk,berries,bottled water,curd,napkins,,,,,,
domestic eggs,soda,,,,,,,,,
sausage,curd,yogurt,,,,,,,,
frozen potato products,whipped/sour cream,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
frankfurter,whole milk,,,,,,,,,
rolls/buns,soda,,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
citrus fruit,margarine,,,,,,,,,
frozen fish,coffee,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
dish cleaner,whole milk,frozen vegetables,waffles,,,,,,,
pasta,pot plants,liquor,,,,,,,,
frankfurter,frankfurter,long life bakery product,newspapers,pip fruit,whipped/sour cream,hygiene articles,,,,
turkey,fruit/vegetable juice,domestic eggs,,,,,,,,
chewing gum,pastry,pastry,,,,,,,,
beef,whole milk,,,,,,,,,
coffee,hamburger meat,brown bread,detergent,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
rolls/buns,other vegetables,soft cheese,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
citrus fruit,bottled beer,rolls/buns,hygiene articles,softener,,,,,,
other vegetables,meat,salty snack,,,,,,,,
house keeping products,newspapers,,,,,,,,,
ham,mayonnaise,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
whole milk,frankfurter,domestic eggs,flour,,,,,,,
salty snack,soda,oil,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
newspapers,shopping bags,,,,,,,,,
other vegetables,hard cheese,chocolate,,,,,,,,
pip fruit,waffles,,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
curd,specialty bar,,,,,,,,,
beef,pastry,specialty chocolate,,,,,,,,
sausage,female sanitary products,,,,,,,,,
root vegetables,ham,butter,brown bread,pastry,spread cheese,,,,,
cat food,whole milk,chocolate,,,,,,,,
whole milk,canned beer,,,,,,,,,
whole milk,sauces,,,,,,,,,
tropical fruit,tropical fruit,tropical fruit,long life bakery product,soda,,,,,,
butter,margarine,,,,,,,,,
soda,butter,,,,,,,,,
canned beer,curd,,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
root vegetables,white bread,meat spreads,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
whole milk,yogurt,sliced cheese,,,,,,,,
pastry,cat food,,,,,,,,,
rolls/buns,popcorn,fruit/vegetable juice,,,,,,,,
packaged fruit/vegetables,beverages,,,,,,,,,
cream cheese ,sausage,whole milk,pip fruit,,,,,,,
sausage,spread cheese,specialty bar,soda,,,,,,,
packaged fruit/vegetables,long life bakery product,,,,,,,,,
misc. beverages,whipped/sour cream,pastry,,,,,,,,
soda,shopping bags,canned beer,,,,,,,,
whole milk,canned beer,,,,,,,,,
citrus fruit,flour,,,,,,,,,
dish cleaner,curd,,,,,,,,,
root vegetables,pip fruit,,,,,,,,,
pork,root vegetables,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
pastry,margarine,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
canned beer,tropical fruit,fruit/vegetable juice,shopping bags,,,,,,,
tropical fruit,cat food,,,,,,,,,
sausage,mustard,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
photo/film,chewing gum,,,,,,,,,
canned vegetables,white bread,,,,,,,,,
soft cheese,long life bakery product,,,,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
citrus fruit,pickled vegetables,,,,,,,,,
cat food,newspapers,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
Instant food products,white bread,semi-finished bread,,,,,,,,
whole milk,berries,,,,,,,,,
root vegetables,bottled beer,newspapers,margarine,domestic eggs,shopping bags,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
sausage,grapes,,,,,,,,,
citrus fruit,liquor,white bread,,,,,,,,
margarine,brown bread,,,,,,,,,
sausage,citrus fruit,butter,specialty bar,salty snack,,,,,,
specialty bar,canned beer,white bread,newspapers,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
sausage,pork,pip fruit,other vegetables,hard cheese,,,,,,
frankfurter,red/blush wine,other vegetables,,,,,,,,
butter,frozen meals,,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
soda,waffles,,,,,,,,,
root vegetables,processed cheese,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
pip fruit,onions,yogurt,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
pork,sugar,,,,,,,,,
brown bread,chocolate,,,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
roll products ,whole milk,tropical fruit,rolls/buns,rolls/buns,,,,,,
sausage,sugar,yogurt,,,,,,,,
bottled water,fruit/vegetable juice,,,,,,,,,
ham,yogurt,hard cheese,rolls/buns,,,,,,,
cat food,soda,,,,,,,,,
bottled water,seasonal products,,,,,,,,,
beef,flour,,,,,,,,,
salty snack,liquor,,,,,,,,,
sparkling wine,waffles,,,,,,,,,
beverages,citrus fruit,tropical fruit,ready soups,canned fish,soda,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
other vegetables,beverages,margarine,,,,,,,,
whole milk,spices,photo/film,,,,,,,,
ham,root vegetables,newspapers,other vegetables,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
pet care,brown bread,,,,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
female sanitary products,dishes,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
pork,other vegetables,,,,,,,,,
napkins,pastry,,,,,,,,,
rolls/buns,soda,soda,flower (seeds),,,,,,,
flower (seeds),shopping bags,,,,,,,,,
pork,soda,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
newspapers,red/blush wine,,,,,,,,,
sausage,bottled water,,,,,,,,,
root vegetables,bottled water,waffles,,,,,,,,
yogurt,long life bakery product,onions,hygiene articles,sugar,,,,,,
other vegetables,domestic eggs,,,,,,,,,
frozen vegetables,coffee,,,,,,,,,
other vegetables,sausage,,,,,,,,,
citrus fruit,ham,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
rolls/buns,berries,,,,,,,,,
beverages,whole milk,butter milk,fruit/vegetable juice,,,,,,,
whipped/sour cream,house keeping products,,,,,,,,,
root vegetables,soda,,,,,,,,,
chewing gum,yogurt,,,,,,,,,
onions,soda,,,,,,,,,
yogurt,root vegetables,oil,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
canned beer,other vegetables,waffles,oil,,,,,,,
dessert,bottled water,,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
yogurt,shopping bags,coffee,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
whole milk,domestic eggs,bottled beer,bottled beer,,,,,,,
baking powder,brown bread,,,,,,,,,
ham,whole milk,other vegetables,soda,white bread,tropical fruit,sugar,,,,
chicken,soda,,,,,,,,,
beef,root vegetables,,,,,,,,,
citrus fruit,whole milk,rolls/buns,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,whole milk,,,,,,,,,
chicken,whole milk,white bread,newspapers,,,,,,,
other vegetables,bottled beer,,,,,,,,,
sausage,canned beer,kitchen towels,,,,,,,,
hamburger meat,candy,,,,,,,,,
canned beer,yogurt,,,,,,,,,
brown bread,whole milk,,,,,,,,,
finished products,bottled beer,,,,,,,,,
finished products,rolls/buns,oil,frozen vegetables,,,,,,,
soda,sliced cheese,,,,,,,,,
ice cream,root vegetables,,,,,,,,,
whole milk,bottled water,,,,,,,,,
ham,domestic eggs,,,,,,,,,
yogurt,fruit/vegetable juice,,,,,,,,,
dessert,butter,,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
yogurt,soda,,,,,,,,,
sausage,sausage,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
grapes,whipped/sour cream,dishes,,,,,,,,
root vegetables,butter,,,,,,,,,
soda,napkins,specialty chocolate,,,,,,,,
beef,frozen vegetables,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
tropical fruit,white bread,,,,,,,,,
sausage,canned beer,,,,,,,,,
chocolate,curd,salty snack,,,,,,,,
mustard,zwieback,,,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
white wine,tropical fruit,,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
sliced cheese,shopping bags,,,,,,,,,
brown bread,brown bread,,,,,,,,,
red/blush wine,dog food,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
root vegetables,flower (seeds),,,,,,,,,
curd,salty snack,,,,,,,,,
bottled water,frankfurter,curd,butter milk,,,,,,,
pip fruit,bottled beer,,,,,,,,,
pork,rolls/buns,,,,,,,,,
soda,condensed milk,curd,,,,,,,,
soda,curd cheese,root vegetables,semi-finished bread,,,,,,,
root vegetables,soda,,,,,,,,,
soda,whole milk,,,,,,,,,
pork,other vegetables,,,,,,,,,
soda,other vegetables,,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
shopping bags,rice,,,,,,,,,
citrus fruit,pip fruit,ketchup,roll products ,seasonal products,hard cheese,dog food,,,,
berries,napkins,cereals,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pork,bottled beer,beef,other vegetables,chocolate,snack products,other vegetables,frozen vegetables,,,
citrus fruit,bottled water,,,,,,,,,
shopping bags,white wine,,,,,,,,,
beef,sugar,,,,,,,,,
newspapers,pastry,,,,,,,,,
tropical fruit,cat food,soda,,,,,,,,
whole milk,butter,,,,,,,,,
grapes,soda,,,,,,,,,
pork,brown bread,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
chocolate,pip fruit,rolls/buns,other vegetables,frozen vegetables,,,,,,
root vegetables,yogurt,sparkling wine,,,,,,,,
coffee,roll products ,,,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
other vegetables,coffee,,,,,,,,,
other vegetables,flower (seeds),,,,,,,,,
pork,root vegetables,root vegetables,curd,canned vegetables,cream cheese ,fruit/vegetable juice,nut snack,,,
beef,whole milk,frozen vegetables,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
meat,domestic eggs,,,,,,,,,
butter milk,other vegetables,,,,,,,,,
pork,citrus fruit,,,,,,,,,
rolls/buns,pet care,,,,,,,,,
soft cheese,onions,,,,,,,,,
yogurt,oil,,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
citrus fruit,chewing gum,frozen vegetables,margarine,,,,,,,
pip fruit,shopping bags,yogurt,,,,,,,,
bottled beer,whole milk,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
oil,canned fish,,,,,,,,,
ham,curd,,,,,,,,,
whole milk,whole milk,sauces,,,,,,,,
ham,tropical fruit,soda,,,,,,,,
beef,rum,brown bread,,,,,,,,
canned beer,coffee,,,,,,,,,
other vegetables,sausage,tropical fruit,whipped/sour cream,salty snack,oil,,,,,
whipped/sour cream,shopping bags,pasta,,,,,,,,
berries,hamburger meat,,,,,,,,,
whipped/sour cream,canned fish,,,,,,,,,
pasta,yogurt,specialty bar,,,,,,,,
sausage,bottled water,,,,,,,,,
tidbits,berries,,,,,,,,,
onions,specialty vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
other vegetables,spread cheese,,,,,,,,,
tropical fruit,detergent,,,,,,,,,
chocolate,tea,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
coffee,white wine,,,,,,,,,
canned beer,margarine,pastry,,,,,,,,
whole milk,tropical fruit,chocolate,,,,,,,,
pip fruit,candy,,,,,,,,,
whole milk,soups,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
pork,tropical fruit,dessert,meat spreads,whole milk,,,,,,
root vegetables,pastry,,,,,,,,,
frozen vegetables,misc. beverages,,,,,,,,,
tropical fruit,pastry,salty snack,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
liver loaf,chicken,whole milk,canned beer,fruit/vegetable juice,frozen dessert,light bulbs,condensed milk,,,
margarine,herbs,,,,,,,,,
frankfurter,margarine,,,,,,,,,
other vegetables,sparkling wine,frozen meals,rolls/buns,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
rolls/buns,frozen vegetables,pot plants,pastry,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
ice cream,shopping bags,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
whole milk,whole milk,,,,,,,,,
specialty bar,other vegetables,,,,,,,,,
pork,pastry,,,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
candy,yogurt,,,,,,,,,
rolls/buns,sausage,whole milk,nuts/prunes,,,,,,,
white bread,salty snack,,,,,,,,,
sausage,yogurt,,,,,,,,,
meat,coffee,,,,,,,,,
sausage,tropical fruit,margarine,,,,,,,,
chocolate,canned beer,frozen fish,,,,,,,,
prosecco,dessert,,,,,,,,,
sausage,frozen meals,,,,,,,,,
coffee,berries,grapes,cream cheese ,cat food,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
chicken,other vegetables,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
spices,ice cream,,,,,,,,,
rolls/buns,flower (seeds),,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
liver loaf,onions,,,,,,,,,
root vegetables,domestic eggs,chocolate,,,,,,,,
coffee,margarine,,,,,,,,,
sausage,beverages,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
frozen fish,beef,,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
mayonnaise,hard cheese,brown bread,,,,,,,,
domestic eggs,cat food,,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
tropical fruit,white bread,butter,,,,,,,,
flower (seeds),domestic eggs,,,,,,,,,
whole milk,brown bread,candy,,,,,,,,
beef,beef,,,,,,,,,
white bread,other vegetables,,,,,,,,,
citrus fruit,whipped/sour cream,onions,other vegetables,butter,,,,,,
chicken,tropical fruit,,,,,,,,,
bottled water,margarine,,,,,,,,,
frozen meals,jam,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
bottled water,waffles,white bread,,,,,,,,
butter,long life bakery product,,,,,,,,,
pork,yogurt,,,,,,,,,
soda,whole milk,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
processed cheese,roll products ,,,,,,,,,
berries,white wine,,,,,,,,,
whipped/sour cream,shopping bags,bottled water,,,,,,,,
semi-finished bread,liquor (appetizer),,,,,,,,,
waffles,sugar,,,,,,,,,
soda,whole milk,,,,,,,,,
frankfurter,dessert,,,,,,,,,
canned fish,cat food,,,,,,,,,
herbs,dessert,yogurt,,,,,,,,
whole milk,root vegetables,,,,,,,,,
sausage,pot plants,,,,,,,,,
frankfurter,beverages,beef,whole milk,other vegetables,rolls/buns,softener,vinegar,white bread,,
canned beer,rolls/buns,,,,,,,,,
dessert,pickled vegetables,,,,,,,,,
tropical fruit,whole milk,vinegar,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
pork,rolls/buns,yogurt,brown bread,,,,,,,
herbs,soups,,,,,,,,,
brown bread,herbs,,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
canned beer,whole milk,,,,,,,,,
curd,pastry,,,,,,,,,
sausage,bottled beer,,,,,,,,,
beef,margarine,baking powder,,,,,,,,
brown bread,soda,,,,,,,,,
hamburger meat,cream cheese ,,,,,,,,,
pip fruit,waffles,,,,,,,,,
newspapers,other vegetables,,,,,,,,,
bottled water,chocolate,,,,,,,,,
cream cheese ,canned beer,waffles,,,,,,,,
bottled water,shopping bags,,,,,,,,,
beef,bottled beer,specialty chocolate,yogurt,whole milk,,,,,,
whole milk,shopping bags,,,,,,,,,
hamburger meat,soda,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
spices,cat food,seasonal products,,,,,,,,
whole milk,other vegetables,,,,,,,,,
beverages,yogurt,,,,,,,,,
sliced cheese,pip fruit,,,,,,,,,
sugar,bottled water,,,,,,,,,
whipped/sour cream,pastry,,,,,,,,,
baking powder,beef,,,,,,,,,
whole milk,white bread,,,,,,,,,
soda,red/blush wine,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
beef,meat,,,,,,,,,
bottled water,beef,,,,,,,,,
sausage,other vegetables,hard cheese,,,,,,,,
bottled water,sugar,,,,,,,,,
sugar,waffles,soda,organic products,,,,,,,
root vegetables,domestic eggs,cake bar,napkins,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
candy,coffee,,,,,,,,,
frozen fish,rolls/buns,,,,,,,,,
cream cheese ,shopping bags,shopping bags,,,,,,,,
frankfurter,bottled water,,,,,,,,,
coffee,curd cheese,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
napkins,bottled beer,,,,,,,,,
pork,whole milk,,,,,,,,,
meat,whole milk,,,,,,,,,
finished products,cream cheese ,,,,,,,,,
bottled water,brown bread,,,,,,,,,
rolls/buns,ham,whole milk,sliced cheese,whole milk,fruit/vegetable juice,pickled vegetables,misc. beverages,,,
other vegetables,curd,,,,,,,,,
sugar,shopping bags,,,,,,,,,
onions,rum,,,,,,,,,
pork,napkins,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
dessert,whole milk,whole milk,domestic eggs,,,,,,,
mayonnaise,shopping bags,,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
rolls/buns,specialty bar,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
onions,other vegetables,,,,,,,,,
chicken,beef,,,,,,,,,
pastry,white bread,,,,,,,,,
turkey,root vegetables,,,,,,,,,
frozen meals,beef,,,,,,,,,
butter,soda,,,,,,,,,
herbs,newspapers,brown bread,,,,,,,,
fruit/vegetable juice,berries,,,,,,,,,
fruit/vegetable juice,bottled beer,,,,,,,,,
canned beer,baking powder,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
bottled water,dessert,,,,,,,,,
specialty bar,candy,margarine,,,,,,,,
pork,whole milk,,,,,,,,,
sausage,bottled water,napkins,,,,,,,,
frankfurter,coffee,,,,,,,,,
meat,domestic eggs,,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
candy,whipped/sour cream,,,,,,,,,
coffee,whole milk,,,,,,,,,
beverages,bottled water,yogurt,,,,,,,,
sausage,shopping bags,,,,,,,,,
